Group,Comparison,Alpha,N
Frame,human1_vs_human2,0.8459057998059267,200
Frame,human1_vs_llm,0.8054348789786329,200
Frame,human2_vs_llm,0.7865113152587946,199
Frame,all_three,0.8127912264629702,199
Reply,human1_vs_human2,0.8915346865937988,196
Reply,human1_vs_llm,0.840364725095264,196
Reply,human2_vs_llm,0.8373201739712278,195
Reply,all_three,0.8567359761389612,195
Actors,human1_vs_human2,0.9626385987465853,235
Actors,human1_vs_llm,0.7137129109863672,235
Actors,human2_vs_llm,0.6703100412537745,233
Actors,all_three,0.8281457280371884,179
Events,human1_vs_human2,0.9797547151758025,600
Events,human1_vs_llm,0.8666022544283414,600
Events,human2_vs_llm,0.8729753272436199,600
Events,all_three,0.9074586097186463,600
