,TruthSocial Trump+,TruthSocial Trump-,TruthSocial Biden+,TruthSocial Biden-,Bluesky and Mastodon Trump+,Bluesky and Mastodon Trump-,Bluesky and Mastodon Biden+,Bluesky and Mastodon Biden-
Persecution,0.06002891821329093,0.06002891821329093,0.06002891821329093,0.06002891821329093,0.6556025597913937,0.6556025597913937,0.6556025597913937,0.6556025597913937
Corruption,0.7138243481828295,0.7138243481828295,0.7138243481828295,0.7138243481828295,0.9098757558699612,0.9098757558699612,0.9098757558699612,0.9098757558699612
Accountability,0.16945336697202773,0.16945336697202773,0.16945336697202773,0.16945336697202773,0.13562825584915802,0.13562825584915802,0.13562825584915802,0.13562825584915802
Irony,0.5701842150129671,0.5701842150129671,0.5701842150129671,0.5701842150129671,0.0015191633928121524,0.0015191633928121524,0.0015191633928121524,0.0015191633928121524
Heroism,0.6982651462668694,0.6982651462668694,0.6982651462668694,0.6982651462668694,0.00047604601919900506,0.00047604601919900506,0.00047604601919900506,0.00047604601919900506
Civic_Critique,0.41004269898397794,0.41004269898397794,0.41004269898397794,0.41004269898397794,4.6109196904089e-15,4.6109196904089e-15,4.6109196904089e-15,4.6109196904089e-15
Moral_Decay,0.6090516296885905,0.6090516296885905,0.6090516296885905,0.6090516296885905,0.5940539014978353,0.5940539014978353,0.5940539014978353,0.5940539014978353
Media_Manipulation,0.05157388040218548,0.05157388040218548,0.05157388040218548,0.05157388040218548,0.31994787842059724,0.31994787842059724,0.31994787842059724,0.31994787842059724
Strategic_Pragmatism,0.007922068752780714,0.007922068752780714,0.007922068752780714,0.007922068752780714,0.022876009588608786,0.022876009588608786,0.022876009588608786,0.022876009588608786
Cultural_Identity,0.8630511368921684,0.8630511368921684,0.8630511368921684,0.8630511368921684,0.6444239360738147,0.6444239360738147,0.6444239360738147,0.6444239360738147
Intercept,0.0,0.0,0.0,0.0,6.621610340172758e-20,6.621610340172758e-20,6.621610340172758e-20,6.621610340172758e-20
