,TruthSocial Trump+,TruthSocial Trump-,TruthSocial Biden+,TruthSocial Biden-,Bluesky and Mastodon Trump+,Bluesky and Mastodon Trump-,Bluesky and Mastodon Biden+,Bluesky and Mastodon Biden-
Persecution,False,False,False,False,False,False,False,False
Corruption,False,False,False,False,False,False,False,False
Accountability,False,False,False,False,False,False,False,False
Irony,False,False,False,False,True,True,True,True
Heroism,False,False,False,False,True,True,True,True
Civic_Critique,False,False,False,False,True,True,True,True
Moral_Decay,False,False,False,False,False,False,False,False
Media_Manipulation,False,False,False,False,False,False,False,False
Strategic_Pragmatism,True,True,True,True,True,True,True,True
Cultural_Identity,False,False,False,False,False,False,False,False
Intercept,True,True,True,True,True,True,True,True
