,Truth Trump++,Truth Trump--,Truth Biden++,Truth Biden--,Bluesky/Mastodon Trump++,Bluesky/Mastodon Trump--,Bluesky/Mastodon Biden++,Bluesky/Mastodon Biden--
Persecution,-0.050199999999999995,0.1868,-2.1737,-0.08199999999999999,-0.3226,0.0116,-0.025800000000000003,-0.012499999999999997
Corruption,-0.014399999999999996,-0.1654,1.4192,0.3222,-0.1447,0.04770000000000002,0.035900000000000015,-0.2621
Accountability,-0.1466,-0.0954,-1.2423,-0.1978,0.5021,0.030200000000000005,0.2075,0.2429
Irony,-0.3059,-0.3147,0.1447,-0.08429999999999999,0.34199999999999997,0.006999999999999951,-0.006500000000000006,0.3091
Heroism,0.11220000000000002,-0.13489999999999996,1.1184,0.2546,0.2832,0.07240000000000002,0.33830000000000005,-0.14649999999999996
Civic_Critique,0.258,0.07220000000000001,-0.04799999999999999,0.12170000000000002,0.6475,0.26449999999999996,0.1462,0.39089999999999997
Moral_Decay,0.0601,-0.0822,-0.5567,-0.0776,-0.242,0.0344,-0.131,0.016200000000000006
Media_Manipulation,0.1866,0.1968,-0.1827,-0.0741,0.004799999999999999,0.1539,0.15620000000000003,0.32789999999999997
Strategic_Pragmatism,0.048000000000000015,-0.15839999999999999,0.258,-0.2231,-0.348,0.015,-0.0922,-0.055
Cultural_Identity,-0.24429999999999996,-0.23869999999999997,-0.8329,0.166,0.1251,-0.021699999999999997,-0.2151,0.1935
Intercept,3.9767,2.9781,2.5423,5.6625,0.8124,1.2221,1.4479,0.06940000000000002
